user_number,datetime,Consommation,cluster
47,2016-09-14 21:06:52,16,1
47,2016-09-14 22:06:52,22,1
47,2016-09-14 23:06:51,18,1
47,2016-09-15 00:06:51,0,1
47,2016-09-15 01:06:51,0,1
47,2016-09-15 02:06:51,0,1
47,2016-09-15 03:06:53,0,1
47,2016-09-15 04:06:53,0,1
47,2016-09-15 05:06:53,0,1
47,2016-09-15 06:06:53,7,1
47,2016-09-15 07:06:52,20,1
47,2016-09-15 08:06:52,36,1
47,2016-09-15 09:06:52,125,1
47,2016-09-15 10:06:52,153,1
47,2016-09-15 11:06:52,26,1
47,2016-09-15 12:06:52,13,1
47,2016-09-15 13:06:52,12,1
47,2016-09-15 14:06:52,1,1
47,2016-09-15 15:06:51,27,1
47,2016-09-15 16:06:51,11,1
47,2016-09-15 17:06:51,5,1
47,2016-09-15 18:06:51,56,1
47,2016-09-15 19:06:50,19,1
47,2016-09-15 20:06:50,1,1
47,2016-09-15 21:06:50,5,1
47,2016-09-15 22:06:50,21,1
47,2016-09-15 23:06:48,25,1
47,2016-09-16 00:06:48,13,1
47,2016-09-16 01:06:48,0,1
47,2016-09-16 02:06:48,0,1
47,2016-09-16 03:06:50,0,1
47,2016-09-16 04:06:50,0,1
47,2016-09-16 05:06:50,0,1
47,2016-09-16 06:06:50,0,1
47,2016-09-16 06:19:19,92,1
47,2016-09-16 07:19:19,43,1
47,2016-09-16 08:19:19,55,1
47,2016-09-16 09:19:19,40,1
47,2016-09-16 11:06:52,13,1
47,2016-09-16 12:06:52,6,1
47,2016-09-16 13:06:52,1,1
